room_name,building_floor,room_label,campus_code,capacity,min_capacity,room_property_code,room_property_name,home_department,using_department,note,in_use
271,4,403-N1,CS1,60,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
386,4,403-N1 (PHONG AO),CS1,40,2,LT,Lý thuyết,"Khoa Kinh tế, Du lịch và Truyền thông",,,1
305,4,403-N2,CS1,35,2,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,,1
272,4,404-N1,CS1,60,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
306,4,404-N2,CS1,35,2,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,,1
430,4,404-N4,CS1,100,5,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
273,4,405-N1,CS1,60,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
307,4,405-N2,CS1,35,2,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,,1
431,4,405-N4,CS1,100,5,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
274,4,406-N1,CS1,60,3,LT,Lý thuyết,Phòng Đào Tạo,,,1
308,4,406-N2,CS1,35,2,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,,1
275,4,407-N1,CS1,60,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
309,4,407-N2,CS1,35,2,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,,1
157,4,408 (PHONG NHIEP ANH),CS1,50,3,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,408 (Phòng nhiếp ảnh),1
276,4,408-N1,CS1,60,3,LT,Lý thuyết,Cơ khí và Công nghệ,,,1
310,4,408-N2,CS1,35,2,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,,1
277,4,409-N1,CS1,60,3,LT,Lý thuyết,Phòng Đào Tạo,,,1
311,4,409-N2,CS1,35,2,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,,1
278,4,410-N1,CS1,60,3,LT,Lý thuyết,Phòng Đào Tạo,,,1
312,4,410-N2,CS1,35,2,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,,1
279,4,411-N1,CS1,60,3,LT,Lý thuyết,Phòng Đào Tạo,,,1
313,4,411-N2,CS1,35,2,LT,Lý thuyết,Cơ khí và Công nghệ,Cơ khí và Công nghệ,,1
